部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,皖AT0540,22.68,0.73,3.088,51.1261632,2019/11/23
04无排行无提醒,粤B0Y92H,5.57,0.73,3.088,12.5561168,2019/11/23
04无排行无提醒,粤BP439V,2.59,0.73,3.088,5.8384816,2019/11/23
04无排行无提醒,粤STB959,0.14,0.73,3.088,0.3155936,2019/11/23
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/23
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/23
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/11/23
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/23
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/23
04无排行无提醒,皖AT0540,17.08,0.73,3.088,38.5024192,2019/11/24
04无排行无提醒,粤B0Y92H,12.79,0.73,3.088,28.8317296,2019/11/24
04无排行无提醒,粤BP439V,4.49,0.73,3.088,10.1215376,2019/11/24
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/24
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/24
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/24
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/24
04无排行无提醒,粤PR5795,1.22,0.73,3.088,2.7501728,2019/11/24
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/24
04无排行无提醒,皖AT0540,21.24,0.73,3.088,47.8800576,2019/11/25
04无排行无提醒,粤BP439V,4.41,0.73,3.088,9.9411984,2019/11/25
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/25
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/25
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/25
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/25
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/25
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/25
04无排行无提醒,粤PR5795,1.78,0.73,3.088,4.0125472,2019/11/25
04无排行无提醒,皖AT0540,52.59,0.73,3.088,118.5504816,2019/11/26
04无排行无提醒,粤BP439V,0.97,0.73,3.088,2.1866128,2019/11/26
04无排行无提醒,粤PR5795,1.76,0.73,3.088,3.9674624,2019/11/26
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/26
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/26
04无排行无提醒,粤STB959,0.19,0.73,3.088,0.4283056,2019/11/26
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/26
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/26
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/26
04无排行无提醒,皖AT0540,37.88,0.73,3.088,85.3906112,2019/11/27
