"","车牌号","部门","绝色出行天数","行驶天数","油耗","碳排放.kg.","绿色出行减排.kg."
"502","皖AT0575","02有排行无提醒",31,0,0,0,3261.51
"503","粤JCL629","02有排行无提醒",31,0,0,0,254.51
"504","粤B3Q03K","02有排行无提醒",31,0,0,0,611.63
"505","皖AYY059","02有排行无提醒",31,0,0,0,244.28
"506","粤B9XN26","02有排行无提醒",31,0,0,0,681.38
"507","皖AT0543","02有排行无提醒",31,0,0,0,1033.54
"508","皖AT0576","02有排行无提醒",31,0,0,0,2690.8
"509","粤SL3H57","02有排行无提醒",31,0,0,0,139.5
"510","粤B7U0H5","02有排行无提醒",31,0,0,0,120.59
"511","粤BN8G52","02有排行无提醒",0,0,0,0,0
"512","皖AT0601","02有排行无提醒",8,22,879.55,1982.51,720.91
"513","皖AT0613","02有排行无提醒",0,30,887.13,1999.59,0
"514","皖AT0541","02有排行无提醒",7,23,866.94,1954.08,594.72
"515","皖AT0620","02有排行无提醒",3,27,624.99,1408.73,156.53
"516","粤BL05M1","02有排行无提醒",12,18,78.43,176.78,117.85
"517","皖AT0641","02有排行无提醒",0,0,0,0,0
"518","皖AT0580","02有排行无提醒",30,0,0,0,761.7
"519","皖AT0657","02有排行无提醒",30,0,0,0,2942.7
"520","皖AT0575","02有排行无提醒",30,0,0,0,3156.3
"521","皖AT0543","02有排行无提醒",30,0,0,0,1000.2
"522","粤JCL629","02有排行无提醒",30,0,0,0,246.3
"523","闽C88DN2","02有排行无提醒",30,0,0,0,105.3
"524","粤B3Q03K","02有排行无提醒",30,0,0,0,591.9
"525","皖AYY059","02有排行无提醒",30,0,0,0,236.4
"526","粤B9XN26","02有排行无提醒",30,0,0,0,659.4
"527","皖AT0576","02有排行无提醒",30,0,0,0,2604
"528","粤SL3H57","02有排行无提醒",30,0,0,0,135
"529","粤B7U0H5","02有排行无提醒",30,0,0,0,116.7
"530","粤BN8G52","02有排行无提醒",0,0,0,0,0
"531","粤B3AU48","03无排行有提醒",14,13,43.5,98.05,105.59
"532","粤B533CJ","03无排行有提醒",9,15,32.88,74.11,44.47
"533","粤B2X562","03无排行有提醒",2,21,68.74,154.94,14.76
"534","粤BY1047","03无排行有提醒",16,1,1.2,2.7,43.28
"535","粤STC809","03无排行有提醒",2,14,160.78,362.4,51.77
"536","渝D865V3","03无排行有提醒",0,11,46.09,103.89,0
"537","渝D865V3","03无排行有提醒",0,30,140.31,316.26,0
"538","粤STC809","03无排行有提醒",16,14,78.78,177.57,202.94
"539","粤B2X562","03无排行有提醒",2,27,120.69,272.04,20.15
"540","粤BY1047","03无排行有提醒",30,0,0,0,81
"541","粤B3AU48","03无排行有提醒",5,25,30.16,67.98,13.6
"542","粤B533CJ","03无排行有提醒",30,0,0,0,148.2
"543","粤B892VK","03无排行有提醒",0,21,68.02,153.32,0
"544","粤BS207S","03无排行有提醒",0,2,3.32,7.48,0
"545","粤BS207S","03无排行有提醒",0,13,99.04,223.24,0
"546","渝D865V3","03无排行有提醒",4,27,119.02,268.27,39.74
"547","粤B892VK","03无排行有提醒",0,31,73.61,165.92,0
"548","粤B2X562","03无排行有提醒",7,24,58.35,131.52,38.36
"549","粤STC809","03无排行有提醒",3,28,341.34,769.38,82.43
"550","粤BY1047","03无排行有提醒",31,0,0,0,83.7
"551","粤B3AU48","03无排行有提醒",22,8,3.63,8.18,22.5
"552","粤B533CJ","03无排行有提醒",31,0,0,0,153.14
"553","粤B2X562","03无排行有提醒",1,29,72.87,164.25,5.66
"554","粤B892VK","03无排行有提醒",28,2,2.92,6.58,92.14
"555","粤STC809","03无排行有提醒",0,30,395.89,892.34,0
"556","渝D865V3","03无排行有提醒",30,0,0,0,303.6
"557","粤BY1047","03无排行有提醒",30,0,0,0,81
"558","粤B3AU48","03无排行有提醒",30,0,0,0,111.3
"559","粤B533CJ","03无排行有提醒",30,0,0,0,148.2
"560","粤BS207S","03无排行有提醒",0,9,27.6,62.21,0
"561","皖AT0549","03无排行有提醒",0,3,179.29,404.12,0
"562","皖AT0579","03无排行有提醒",0,3,95.54,215.35,0
"563","皖AT0621","03无排行有提醒",0,3,139.57,314.59,0
"564","皖AT0631","03无排行有提醒",0,3,126.51,285.15,0
"565","皖AT0589","03无排行有提醒",0,3,97.43,219.61,0
"566","皖AT0632","03无排行有提醒",0,3,165.72,373.53,0
"567","皖AT0563","03无排行有提醒",0,2,23.57,53.13,0
"568","皖AT0596","03无排行有提醒",0,3,120.54,271.7,0
"569","皖AT0633","03无排行有提醒",0,3,134.8,303.84,0
"570","皖AT0591","03无排行有提醒",0,3,144.26,325.16,0
"571","皖AT0539","03无排行有提醒",0,3,132.05,297.64,0
"572","1.22E+16","03无排行有提醒",2,1,0.26,0.59,1.17
"573","皖AT0591","03无排行有提醒",0,31,1638.28,3692.68,0
"574","皖AT0589","03无排行有提醒",0,31,1599.37,3604.98,0
"575","皖AT0632","03无排行有提醒",8,23,1602.43,3611.88,1256.31
"576","皖AT0539","03无排行有提醒",9,22,1091.25,2459.68,1006.23
"577","皖AT0549","03无排行有提醒",0,31,2036.17,4589.53,0
"578","皖AT0633","03无排行有提醒",0,31,1545.06,3482.57,0
"579","皖AT0579","03无排行有提醒",0,31,1382.65,3116.49,0
"580","皖AT0596","03无排行有提醒",0,31,1150.12,2592.37,0
"581","皖AT0631","03无排行有提醒",0,30,1045.63,2356.85,0
"582","皖AT0621","03无排行有提醒",0,31,1366.13,3079.26,0
"583","粤STC809","03无排行有提醒",0,31,658.54,1484.35,0
"584","皖AT0563","03无排行有提醒",0,28,1058.64,2386.17,0
"585","粤BY1047","03无排行有提醒",31,0,0,0,83.7
"586","1.22E+16","03无排行有提醒",31,0,0,0,18.29
"587","粤B892VK","03无排行有提醒",31,0,0,0,187.24
