"","车牌号","部门","绝色出行天数","行驶天数","油耗","碳排放.kg.","绿色出行减排.kg."
"647","1.22E+16","03无排行有提醒",31,0,0,0,18.29
"648","皖AT0633","03无排行有提醒",31,0,0,0,3432.94
"649","粤BS207S","03无排行有提醒",31,0,0,0,315.89
"650","粤B892VK","03无排行有提醒",31,0,0,0,187.24
"651","粤STC809","03无排行有提醒",7,24,258.41,582.46,169.88
"652","粤BY1047","03无排行有提醒",31,0,0,0,83.7
"653","皖AT0589","03无排行有提醒",0,30,1038.28,2340.28,0
"654","皖AT0549","03无排行有提醒",0,30,1633.67,3682.29,0
"655","皖AT0591","03无排行有提醒",0,30,1524.58,3436.4,0
"656","皖AT0632","03无排行有提醒",5,25,1400.04,3155.69,631.14
"657","皖AT0621","03无排行有提醒",2,28,800.39,1804.08,128.86
"658","皖AT0631","03无排行有提醒",0,30,842.22,1898.36,0
"659","皖AT0579","03无排行有提醒",0,30,1201.69,2708.61,0
"660","皖AT0596","03无排行有提醒",0,30,1042.66,2350.16,0
"661","粤STC809","03无排行有提醒",0,30,455.82,1027.42,0
"662","1.22E+16","03无排行有提醒",30,0,0,0,17.7
"663","粤B3AU48","03无排行有提醒",30,0,0,0,111.3
"664","粤BY1047","03无排行有提醒",30,0,0,0,81
"665","皖AT0563","03无排行有提醒",4,26,789.33,1779.15,273.72
"666","粤B2X562","03无排行有提醒",30,0,0,0,200.7
"667","皖AT0633","03无排行有提醒",30,0,0,0,3322.2
"668","粤BS207S","03无排行有提醒",30,0,0,0,305.7
"669","粤B892VK","03无排行有提醒",30,0,0,0,181.2
"670","皖AT0539","03无排行有提醒",30,0,0,0,3311.1
"671","粤B533CJ","03无排行有提醒",30,0,0,0,148.2
"672","渝D865V3","03无排行有提醒",30,0,0,0,303.6
"673","皖AT0632","03无排行有提醒",0,31,2065.55,4655.75,0
"674","皖AT0549","03无排行有提醒",0,31,1832.41,4130.25,0
"675","皖AT0591","03无排行有提醒",0,31,1512.59,3409.38,0
"676","皖AT0579","03无排行有提醒",0,31,1542.65,3477.13,0
"677","皖AT0589","03无排行有提醒",2,29,875.89,1974.26,136.16
"678","皖AT0631","03无排行有提醒",2,29,981.73,2212.82,152.61
"679","皖AT0596","03无排行有提醒",0,31,1065.51,2401.66,0
"680","皖AT0563","03无排行有提醒",1,30,740.53,1669.15,55.64
"681","皖AT0621","03无排行有提醒",0,31,1166.29,2628.82,0
"682","粤STC809","03无排行有提醒",0,31,642.05,1447.18,0
"683","粤B3AU48","03无排行有提醒",31,0,0,0,115.01
"684","1.22E+16","03无排行有提醒",31,0,0,0,18.29
"685","皖AT0539","03无排行有提醒",31,0,0,0,3421.47
"686","粤BS207S","03无排行有提醒",31,0,0,0,315.89
"687","粤B892VK","03无排行有提醒",31,0,0,0,187.24
"688","粤BY1047","03无排行有提醒",31,0,0,0,83.7
"689","皖AT0633","03无排行有提醒",31,0,0,0,3432.94
"690","粤B533CJ","03无排行有提醒",31,0,0,0,153.14
"691","渝D865V3","03无排行有提醒",31,0,0,0,313.72
"692","粤B2X562","03无排行有提醒",31,0,0,0,207.39
"693","皖AT0549","03无排行有提醒",2,28,1603.92,3615.24,258.23
"694","皖AT0632","03无排行有提醒",2,28,1782.75,4018.32,287.02
"695","皖AT0621","03无排行有提醒",1,29,1169.67,2636.44,90.91
"696","皖AT0591","03无排行有提醒",0,30,1521.18,3428.74,0
"697","皖AT0631","03无排行有提醒",0,30,1010.88,2278.52,0
"698","皖AT0596","03无排行有提醒",0,30,1024.9,2310.12,0
"699","皖AT0579","03无排行有提醒",15,15,728.67,1642.42,1642.42
"700","皖AT0563","03无排行有提醒",7,23,745.95,1681.37,511.72
"701","粤STC809","03无排行有提醒",0,30,683,1539.48,0
"702","1.22E+16","03无排行有提醒",30,0,0,0,17.7
"703","皖AT0589","03无排行有提醒",30,0,0,0,2463.3
"704","粤B2X562","03无排行有提醒",30,0,0,0,200.7
"705","粤B533CJ","03无排行有提醒",30,0,0,0,148.2
"706","粤BY1047","03无排行有提醒",30,0,0,0,81
"707","皖AT0633","03无排行有提醒",30,0,0,0,3322.2
"708","粤B3AU48","03无排行有提醒",30,0,0,0,111.3
"709","粤BS207S","03无排行有提醒",30,0,0,0,305.7
"710","粤B892VK","03无排行有提醒",30,0,0,0,181.2
"711","皖AT0539","03无排行有提醒",30,0,0,0,3311.1
"712","渝D865V3","03无排行有提醒",30,0,0,0,303.6
"713","皖AT0632","03无排行有提醒",0,15,958.17,2159.72,0
"714","皖AT0596","03无排行有提醒",0,15,587.7,1324.68,0
"715","皖AT0591","03无排行有提醒",0,15,744.49,1678.08,0
"716","皖AT0563","03无排行有提醒",1,14,475.37,1071.48,76.53
"717","皖AT0631","03无排行有提醒",0,15,545.95,1230.57,0
"718","皖AT0621","03无排行有提醒",0,15,652.12,1469.88,0
"719","粤STC809","03无排行有提醒",0,15,306.03,689.79,0
"720","皖AT0579","03无排行有提醒",15,0,0,0,1281
"721","皖AT0589","03无排行有提醒",15,0,0,0,1231.65
"722","渝D865V3","03无排行有提醒",15,0,0,0,151.8
"723","皖AT0539","03无排行有提醒",15,0,0,0,1655.55
"724","粤B2X562","03无排行有提醒",15,0,0,0,100.35
"725","粤B533CJ","03无排行有提醒",15,0,0,0,74.1
"726","粤B3AU48","03无排行有提醒",15,0,0,0,55.65
"727","1.22E+16","03无排行有提醒",15,0,0,0,8.85
"728","粤BY1047","03无排行有提醒",15,0,0,0,40.5
"729","皖AT0549","03无排行有提醒",15,0,0,0,1831.2
"730","皖AT0633","03无排行有提醒",15,0,0,0,1661.1
"731","粤BS207S","03无排行有提醒",15,0,0,0,152.85
"732","粤B892VK","03无排行有提醒",15,0,0,0,90.6
"733","皖AT0596","03无排行有提醒",0,31,1386.45,3125.06,0
"734","皖AT0591","03无排行有提醒",0,31,1607.49,3623.28,0
"735","皖AT0631","03无排行有提醒",0,31,1113.47,2509.76,0
"736","皖AT0632","03无排行有提醒",0,31,1371.28,3090.87,0
"737","皖AT0621","03无排行有提醒",2,29,1497.83,3376.11,232.84
"738","粤STC809","03无排行有提醒",30,1,19.89,44.83,1344.96
"739","渝D865V3","03无排行有提醒",31,0,0,0,309.38
"740","皖AT0579","03无排行有提醒",31,0,0,0,2647.4
"741","皖AT0589","03无排行有提醒",31,0,0,0,2545.41
"742","皖AT0539","03无排行有提醒",31,0,0,0,3421.47
"743","皖AT0563","03无排行有提醒",2,29,819.92,1848.1,127.46
"744","皖AT0549","03无排行有提醒",31,0,0,0,3784.48
"745","粤B2X562","03无排行有提醒",31,0,0,0,207.39
"746","粤B533CJ","03无排行有提醒",31,0,0,0,153.14
"747","粤B3AU48","03无排行有提醒",31,0,0,0,115.01
"748","皖AT0633","03无排行有提醒",31,0,0,0,3432.94
"749","粤BS207S","03无排行有提醒",31,0,0,0,315.89
"750","粤B892VK","03无排行有提醒",31,0,0,0,187.24
"751","粤BY1047","03无排行有提醒",31,0,0,0,83.7
"752","皖AT0621","03无排行有提醒",0,30,1398.48,3152.17,0
"753","皖AT0591","03无排行有提醒",0,30,1693.72,3817.64,0
"754","皖AT0631","03无排行有提醒",1,29,1055.09,2378.17,82.01
"755","皖AT0596","03无排行有提醒",0,30,1229.11,2770.41,0
"756","皖AT0563","03无排行有提醒",0,30,758.99,1710.76,0
"757","皖AT0632","03无排行有提醒",0,30,1202.65,2710.77,0
"758","皖AT0549","03无排行有提醒",30,0,0,0,3662.4
"759","渝D865V3","03无排行有提醒",30,0,0,0,299.4
"760","皖AT0589","03无排行有提醒",30,0,0,0,2463.3
"761","皖AT0539","03无排行有提醒",30,0,0,0,3311.1
"762","皖AT0579","03无排行有提醒",30,0,0,0,2562
"763","皖AT0633","03无排行有提醒",30,0,0,0,3322.2
"764","粤B2X562","03无排行有提醒",30,0,0,0,200.7
"765","粤B533CJ","03无排行有提醒",30,0,0,0,148.2
"766","粤B3AU48","03无排行有提醒",30,0,0,0,111.3
"767","粤BS207S","03无排行有提醒",30,0,0,0,305.7
"768","粤B892VK","03无排行有提醒",30,0,0,0,181.2
"769","粤STC809","03无排行有提醒",30,0,0,0,1146
"770","粤BY1047","03无排行有提醒",30,0,0,0,81
"771","粤B4C0S6","04无排行无提醒",1,30,286.38,645.5,21.52
"772","粤S09158","04无排行无提醒",19,4,17.73,39.96,189.83
"773","粤B3RC91","04无排行无提醒",10,10,42.67,96.18,96.18
"774","粤PR5795","04无排行无提醒",9,9,19.49,43.93,43.93
"775","粤BP439V","04无排行无提醒",3,13,66.91,150.82,34.8
"776","粤STB959","04无排行无提醒",2,10,23.71,53.44,10.69
"777","粤B0Y92H","04无排行无提醒",0,9,63.39,142.88,0
"778","粤B0Y92H","04无排行无提醒",3,27,218.61,492.75,54.75
"779","粤B4C0S6","04无排行无提醒",20,10,47.34,106.7,213.41
"780","粤STB959","04无排行无提醒",19,10,11.91,26.85,51.01
"781","粤BP439V","04无排行无提醒",21,9,25.02,56.4,131.59
"782","粤PR5795","04无排行无提醒",6,24,63.36,142.81,35.7
"783","粤S09158","04无排行无提醒",30,0,0,0,299.7
"784","粤B3RC91","04无排行无提醒",30,0,0,0,251.1
"785","粤B83CT2","04无排行无提醒",19,1,1.82,4.1,77.94
"786","粤STB959","04无排行无提醒",13,18,95.12,214.4,154.84
"787","粤BP439V","04无排行无提醒",14,17,76.55,172.54,142.09
"788","粤B0Y92H","04无排行无提醒",7,24,155.45,350.38,102.2
"789","粤PR5795","04无排行无提醒",17,13,36.9,83.17,108.76
"790","粤B83CT2","04无排行无提醒",31,0,0,0,102.92
"791","粤B4C0S6","04无排行无提醒",31,0,0,0,583.11
"792","粤B3RC91","04无排行无提醒",31,0,0,0,259.47
"793","粤S09158","04无排行无提醒",31,0,0,0,309.69
"794","皖AT0540","04无排行无提醒",0,8,386.77,871.78,0
"795","皖AT0540","04无排行无提醒",0,30,1307.13,2946.27,0
"796","粤B0Y92H","04无排行无提醒",13,17,162.49,366.25,280.08
"797","粤PR5795","04无排行无提醒",8,22,38.71,87.25,31.73
"798","粤STB959","04无排行无提醒",16,14,31.08,70.05,80.06
"799","粤BP439V","04无排行无提醒",7,23,98.71,222.49,67.72
"800","粤B83CT2","04无排行无提醒",29,1,1.13,2.55,73.86
"801","粤B4C0S6","04无排行无提醒",30,0,0,0,564.3
"802","粤B3RC91","04无排行无提醒",30,0,0,0,251.1
"803","粤S09158","04无排行无提醒",30,0,0,0,299.7
"804","皖AT0623","04无排行无提醒",0,3,110.16,248.3,0
"805","皖AT0658","04无排行无提醒",0,3,91.38,205.97,0
"806","皖AT0560","04无排行无提醒",0,3,167.59,377.75,0
"807","皖AT0565","04无排行无提醒",0,3,124.88,281.48,0
"808","皖AT0666","04无排行无提醒",0,3,93.85,211.54,0
"809","皖AT0608","04无排行无提醒",0,2,56.25,126.79,0
"810","皖AT0661","04无排行无提醒",0,3,91.51,206.26,0
"811","皖AT0616","04无排行无提醒",0,3,86.75,195.53,0
"812","皖AT0556","04无排行无提醒",0,1,5.29,11.92,0
"813","皖AT0560","04无排行无提醒",0,31,2094.86,4721.81,0
"814","皖AT0540","04无排行无提醒",0,31,1599.57,3605.43,0
"815","皖AT0623","04无排行无提醒",0,31,1294.41,2917.6,0
"816","皖AT0658","04无排行无提醒",0,31,1638.67,3693.56,0
"817","皖AT0666","04无排行无提醒",0,31,1253.32,2824.98,0
"818","皖AT0565","04无排行无提醒",0,31,1512.63,3409.47,0
"819","皖AT0661","04无排行无提醒",0,31,1144.37,2579.41,0
"820","粤BP439V","04无排行无提醒",7,24,100.44,226.39,66.03
"821","粤STB959","04无排行无提醒",11,19,41.78,94.17,54.52
"822","粤B0Y92H","04无排行无提醒",21,10,97.75,220.33,462.69
"823","皖AT0616","04无排行无提醒",22,9,250.96,565.66,1382.73
"824","粤PR5795","04无排行无提醒",18,11,18.11,40.82,66.8
"825","皖AT0608","04无排行无提醒",3,28,1241.15,2797.55,299.74
"826","皖AT0556","04无排行无提醒",0,0,0,0,0
"827","粤S09158","04无排行无提醒",31,0,0,0,309.69
"828","粤B3RC91","04无排行无提醒",31,0,0,0,259.47
"829","粤B83CT2","04无排行无提醒",31,0,0,0,102.92
"830","粤B4C0S6","04无排行无提醒",31,0,0,0,583.11
"831","皖AT0658","04无排行无提醒",7,24,1010.84,2278.43,664.54
"832","皖AT0608","04无排行无提醒",4,27,1360.06,3065.58,454.16
"833","皖AT0540","04无排行无提醒",7,24,1251.68,2821.29,822.88
"834","皖AT0623","04无排行无提醒",1,30,1100.48,2480.48,82.68
"835","皖AT0560","04无排行无提醒",7,24,1555.03,3505.04,1022.3
"836","皖AT0661","04无排行无提醒",3,28,991,2233.71,239.33
"837","皖AT0565","04无排行无提醒",6,25,1177.01,2652.98,636.72
"838","皖AT0666","04无排行无提醒",3,28,873.83,1969.61,211.03
"839","粤STB959","04无排行无提醒",8,23,143.08,322.5,112.17
"840","皖AT0616","04无排行无提醒",31,0,0,0,1972.22
"841","皖AT0556","04无排行无提醒",0,0,0,0,0
"842","粤B3RC91","04无排行无提醒",31,0,0,0,259.47
"843","粤B4C0S6","04无排行无提醒",31,0,0,0,583.11
"844","粤S09158","04无排行无提醒",31,0,0,0,309.69
"845","粤B83CT2","04无排行无提醒",31,0,0,0,102.92
"846","粤B0Y92H","04无排行无提醒",9,22,285.83,644.26,263.56
"847","粤BP439V","04无排行无提醒",7,24,134.77,303.77,88.6
"848","粤PR5795","04无排行无提醒",29,2,0.27,0.61,8.82
"849","皖AT0661","04无排行无提醒",1,28,507.13,1143.07,40.82
"850","皖AT0623","04无排行无提醒",9,20,445.5,1004.16,451.87
"851","粤STB959","04无排行无提醒",16,13,97.44,219.63,270.31
"852","皖AT0658","04无排行无提醒",3,26,703.72,1586.18,183.02
"853","皖AT0560","04无排行无提醒",29,0,0,0,4365.66
"854","皖AT0608","04无排行无提醒",14,15,249.47,562.31,524.82
"855","皖AT0556","04无排行无提醒",0,0,0,0,0
"856","皖AT0565","04无排行无提醒",25,4,29.87,67.33,420.79
"857","皖AT0666","04无排行无提醒",24,5,15.74,35.48,170.29
"858","皖AT0616","04无排行无提醒",29,0,0,0,1844.98
"859","粤B3RC91","04无排行无提醒",29,0,0,0,242.73
"860","粤B4C0S6","04无排行无提醒",29,0,0,0,545.49
"861","皖AT0540","04无排行无提醒",27,2,3.09,6.96,94.03
"862","粤S09158","04无排行无提醒",29,0,0,0,289.71
"863","粤B83CT2","04无排行无提醒",29,0,0,0,96.28
"864","粤B0Y92H","04无排行无提醒",29,0,0,0,591.6
"865","粤BP439V","04无排行无提醒",16,13,69.91,157.58,193.94
"866","粤PR5795","04无排行无提醒",28,1,0.02,0.05,1.26
"867","皖AT0623","04无排行无提醒",0,31,1045.76,2357.14,0
"868","皖AT0608","04无排行无提醒",0,31,943.73,2127.17,0
"869","皖AT0658","04无排行无提醒",2,29,858.89,1935.94,133.51
"870","皖AT0661","04无排行无提醒",6,25,625.63,1410.17,338.44
"871","皖AT0565","04无排行无提醒",7,24,463.66,1045.09,304.82
"872","粤BP439V","04无排行无提醒",8,23,133.12,300.05,104.37
"873","皖AT0540","04无排行无提醒",0,31,675.52,1522.62,0
"874","皖AT0616","04无排行无提醒",31,0,0,0,1972.22
"875","皖AT0666","04无排行无提醒",1,30,758.43,1709.5,56.98
"876","皖AT0556","04无排行无提醒",0,0,0,0,0
"877","皖AT0560","04无排行无提醒",31,0,0,0,4666.74
"878","粤B3RC91","04无排行无提醒",31,0,0,0,259.47
"879","粤B4C0S6","04无排行无提醒",31,0,0,0,583.11
"880","粤STB959","04无排行无提醒",31,0,0,0,283.96
"881","粤S09158","04无排行无提醒",31,0,0,0,309.69
"882","粤B83CT2","04无排行无提醒",31,0,0,0,102.92
"883","粤B0Y92H","04无排行无提醒",31,0,0,0,632.4
"884","粤PR5795","04无排行无提醒",22,9,23.06,51.98,127.06
"885","皖AT0623","04无排行无提醒",0,30,1057.39,2383.36,0
"886","皖AT0608","04无排行无提醒",1,29,1017.4,2293.22,79.08
"887","皖AT0658","04无排行无提醒",3,27,649.65,1464.31,162.7
"888","皖AT0666","04无排行无提醒",0,30,1057.95,2384.62,0
"889","皖AT0540","04无排行无提醒",0,30,1326.65,2990.27,0
"890","皖AT0565","04无排行无提醒",0,30,1233.87,2781.14,0
"891","粤BP439V","04无排行无提醒",10,20,136.04,306.63,153.32
"892","粤STB959","04无排行无提醒",30,0,0,0,274.8
"893","粤B4C0S6","04无排行无提醒",30,0,0,0,564.3
"894","皖AT0616","04无排行无提醒",30,0,0,0,1908.6
"895","粤PR5795","04无排行无提醒",1,29,79.4,178.97,6.17
"896","皖AT0556","04无排行无提醒",0,0,0,0,0
"897","粤S09158","04无排行无提醒",30,0,0,0,299.7
"898","粤B83CT2","04无排行无提醒",30,0,0,0,99.6
"899","皖AT0560","04无排行无提醒",30,0,0,0,4516.2
"900","皖AT0661","04无排行无提醒",30,0,0,0,1977.6
"901","粤B0Y92H","04无排行无提醒",30,0,0,0,612
"902","粤B3RC91","04无排行无提醒",30,0,0,0,251.1
"903","皖AT0565","04无排行无提醒",3,28,1247.83,2812.61,301.35
"904","皖AT0540","04无排行无提醒",0,31,1304.1,2939.44,0
"905","皖AT0658","04无排行无提醒",1,30,829.65,1870.03,62.33
"906","皖AT0623","04无排行无提醒",0,31,1193.63,2690.44,0
"907","皖AT0666","04无排行无提醒",15,16,645.71,1455.43,1364.47
"908","皖AT0608","04无排行无提醒",1,30,1016,2290.06,76.34
"909","粤BP439V","04无排行无提醒",4,27,155.72,350.99,52
"910","粤PR5795","04无排行无提醒",3,28,56.39,127.1,13.62
"911","皖AT0616","04无排行无提醒",31,0,0,0,1972.22
"912","皖AT0556","04无排行无提醒",0,0,0,0,0
"913","粤B4C0S6","04无排行无提醒",31,0,0,0,583.11
"914","粤STB959","04无排行无提醒",31,0,0,0,283.96
"915","粤B83CT2","04无排行无提醒",31,0,0,0,102.92
"916","粤B0Y92H","04无排行无提醒",31,0,0,0,632.4
"917","粤S09158","04无排行无提醒",31,0,0,0,309.69
"918","皖AT0661","04无排行无提醒",31,0,0,0,2043.52
"919","粤B3RC91","04无排行无提醒",31,0,0,0,259.47
"920","皖AT0560","04无排行无提醒",31,0,0,0,4666.74
"921","皖AT0540","04无排行无提醒",1,29,1279.35,2883.65,99.44
"922","皖AT0565","04无排行无提醒",0,30,1598.94,3604.01,0
"923","皖AT0608","04无排行无提醒",0,30,1677.92,3782.03,0
"924","皖AT0623","04无排行无提醒",0,30,1235.26,2784.28,0
"925","皖AT0658","04无排行无提醒",0,30,934.4,2106.14,0
"926","粤BP439V","04无排行无提醒",7,23,91.79,206.89,62.97
"927","粤S09158","04无排行无提醒",30,0,0,0,299.7
"928","皖AT0616","04无排行无提醒",30,0,0,0,1908.6
"929","皖AT0666","04无排行无提醒",30,0,0,0,2236.2
"930","粤B3RC91","04无排行无提醒",30,0,0,0,251.1
"931","皖AT0556","04无排行无提醒",0,0,0,0,0
"932","粤B83CT2","04无排行无提醒",30,0,0,0,99.6
"933","皖AT0560","04无排行无提醒",30,0,0,0,4516.2
"934","粤PR5795","04无排行无提醒",6,24,41.47,93.47,23.37
"935","皖AT0661","04无排行无提醒",30,0,0,0,1977.6
"936","粤STB959","04无排行无提醒",30,0,0,0,274.8
"937","粤B4C0S6","04无排行无提醒",30,0,0,0,564.3
"938","粤B0Y92H","04无排行无提醒",30,0,0,0,612
"939","皖AT0608","04无排行无提醒",0,15,821.57,1851.82,0
"940","皖AT0623","04无排行无提醒",0,15,588.27,1325.96,0
"941","皖AT0540","04无排行无提醒",0,15,742.96,1674.63,0
"942","皖AT0658","04无排行无提醒",0,15,440.38,992.62,0
"943","皖AT0565","04无排行无提醒",0,15,982.88,2215.41,0
"944","粤BP439V","04无排行无提醒",1,14,69.5,156.65,11.19
"945","皖AT0661","04无排行无提醒",15,0,0,0,988.8
"946","皖AT0556","04无排行无提醒",0,0,0,0,0
"947","皖AT0666","04无排行无提醒",15,0,0,0,1118.1
"948","皖AT0616","04无排行无提醒",15,0,0,0,954.3
"949","皖AT0560","04无排行无提醒",15,0,0,0,2258.1
"950","粤B3RC91","04无排行无提醒",15,0,0,0,125.55
"951","粤B4C0S6","04无排行无提醒",15,0,0,0,282.15
"952","粤STB959","04无排行无提醒",15,0,0,0,137.4
"953","粤S09158","04无排行无提醒",15,0,0,0,149.85
"954","粤B83CT2","04无排行无提醒",15,0,0,0,49.8
"955","粤B0Y92H","04无排行无提醒",15,0,0,0,306
"956","粤PR5795","04无排行无提醒",3,12,22.55,50.83,12.71
"957","皖AT0623","04无排行无提醒",0,31,1354.78,3053.67,0
"958","皖AT0540","04无排行无提醒",0,31,1705.81,3844.9,0
"959","皖AT0608","04无排行无提醒",0,31,1289.09,2905.61,0
"960","皖AT0565","04无排行无提醒",0,31,1770.01,3989.6,0
"961","皖AT0658","04无排行无提醒",0,31,1165.16,2626.27,0
"962","皖AT0616","04无排行无提醒",31,0,0,0,1972.22
"963","皖AT0661","04无排行无提醒",31,0,0,0,2043.52
"964","皖AT0666","04无排行无提醒",31,0,0,0,2310.74
"965","皖AT0556","04无排行无提醒",0,0,0,0,0
"966","皖AT0560","04无排行无提醒",31,0,0,0,4666.74
"967","粤B3RC91","04无排行无提醒",31,0,0,0,259.47
"968","粤B4C0S6","04无排行无提醒",31,0,0,0,583.11
"969","粤STB959","04无排行无提醒",31,0,0,0,283.96
"970","粤S09158","04无排行无提醒",31,0,0,0,309.69
"971","粤B83CT2","04无排行无提醒",31,0,0,0,102.92
"972","粤B0Y92H","04无排行无提醒",31,0,0,0,632.4
"973","粤BP439V","04无排行无提醒",31,0,0,0,354.64
"974","粤PR5795","04无排行无提醒",31,0,0,0,152.52
"975","皖AT0565","04无排行无提醒",0,30,1755.32,3956.49,0
"976","皖AT0540","04无排行无提醒",0,30,1619.02,3649.27,0
"977","皖AT0623","04无排行无提醒",0,30,1227.74,2767.33,0
"978","皖AT0658","04无排行无提醒",1,29,941.15,2121.35,73.15
"979","皖AT0608","04无排行无提醒",0,30,1121.76,2528.45,0
"980","皖AT0560","04无排行无提醒",30,0,0,0,4516.2
"981","皖AT0616","04无排行无提醒",30,0,0,0,1908.6
"982","皖AT0666","04无排行无提醒",30,0,0,0,2236.2
"983","皖AT0556","04无排行无提醒",0,0,0,0,0
"984","皖AT0661","04无排行无提醒",30,0,0,0,1977.6
"985","粤B3RC91","04无排行无提醒",30,0,0,0,251.1
"986","粤B4C0S6","04无排行无提醒",30,0,0,0,564.3
"987","粤STB959","04无排行无提醒",30,0,0,0,274.8
"988","粤S09158","04无排行无提醒",30,0,0,0,299.7
"989","粤B83CT2","04无排行无提醒",30,0,0,0,99.6
"990","粤B0Y92H","04无排行无提醒",30,0,0,0,612
"991","粤BP439V","04无排行无提醒",30,0,0,0,343.2
"992","粤PR5795","04无排行无提醒",30,0,0,0,147.6
