部门,车牌号,日期,驾驶行为评分
02有排行无提醒,粤B3Q03K,2020/8/19,100
04无排行无提醒,粤STB959,2020/8/19,100
03无排行有提醒,粤B3AU48,2020/8/19,100
02有排行无提醒,闽C88DN2,2020/8/19,100
04无排行无提醒,粤B4C0S6,2020/8/19,100
04无排行无提醒,粤B3RC91,2020/8/19,100
02有排行无提醒,皖AYY059,2020/8/19,100
03无排行有提醒,粤STC809,2020/8/19,100
01有排行有提醒,粤B2K335,2020/8/19,100
04无排行无提醒,粤PR5795,2020/8/19,100
03无排行有提醒,粤BY1047,2020/8/19,100
01有排行有提醒,粤B3R80W,2020/8/19,100
04无排行无提醒,粤S09158,2020/8/19,100
02有排行无提醒,粤B9XN26,2020/8/19,100
03无排行有提醒,粤B2X562,2020/8/19,100
02有排行无提醒,粤BL05M1,2020/8/19,94.07
01有排行有提醒,粤BT2220,2020/8/19,87.75
02有排行无提醒,皖AT0620,2020/8/19,72.95
04无排行无提醒,皖AT0658,2020/8/19,69.44
03无排行有提醒,皖AT0563,2020/8/19,52.99
04无排行无提醒,皖AT0540,2020/8/19,48.41
02有排行无提醒,皖AT0541,2020/8/19,46.51
04无排行无提醒,皖AT0623,2020/8/19,42.69
03无排行有提醒,皖AT0632,2020/8/19,40.47
02有排行无提醒,皖AT0601,2020/8/19,40.39
03无排行有提醒,皖AT0621,2020/8/19,40.12
01有排行有提醒,皖AT0628,2020/8/19,39.33
03无排行有提醒,皖AT0596,2020/8/19,39.18
03无排行有提醒,皖AT0631,2020/8/19,38.99
04无排行无提醒,皖AT0565,2020/8/19,38.91
01有排行有提醒,皖AT0568,2020/8/19,38.83
03无排行有提醒,皖AT0591,2020/8/19,37.89
01有排行有提醒,皖AT0665,2020/8/19,28.84
01有排行有提醒,皖AT0599,2020/8/19,28.68
02有排行无提醒,皖AT0613,2020/8/19,25.82
01有排行有提醒,皖AT0650,2020/8/19,25.34
04无排行无提醒,皖AT0608,2020/8/19,21.51
01有排行有提醒,皖AT0553,2020/8/19,13.37
02有排行无提醒,皖AT0641,2020/8/19,0
01有排行有提醒,皖AT0609,2020/8/19,0
03无排行有提醒,粤TEST01,2020/8/19,0
04无排行无提醒,皖AT0556,2020/8/19,0
01有排行有提醒,粤B048RX,2020/8/19,0
02有排行无提醒,粤BN8G52,2020/8/19,0
02有排行无提醒,皖AT0580,2020/8/20,100
02有排行无提醒,皖AT0543,2020/8/20,100
03无排行有提醒,皖AT0633,2020/8/20,100
02有排行无提醒,皖AT0576,2020/8/20,100
02有排行无提醒,粤SL3H57,2020/8/20,100
03无排行有提醒,粤BS207S,2020/8/20,100
04无排行无提醒,粤B83CT2,2020/8/20,100
03无排行有提醒,粤B892VK,2020/8/20,100
04无排行无提醒,粤B0Y92H,2020/8/20,100
02有排行无提醒,粤B7U0H5,2020/8/20,100
03无排行有提醒,渝D865V3,2020/8/20,100
01有排行有提醒,粤L39ES3,2020/8/20,100
03无排行有提醒,皖AT0549,2020/8/20,100
04无排行无提醒,皖AT0560,2020/8/20,100
03无排行有提醒,皖AT0579,2020/8/20,100
01有排行有提醒,皖AT0642,2020/8/20,100
01有排行有提醒,皖AT0619,2020/8/20,100
04无排行无提醒,皖AT0666,2020/8/20,100
02有排行无提醒,皖AT0575,2020/8/20,100
03无排行有提醒,皖AT0589,2020/8/20,100
02有排行无提醒,皖AT0657,2020/8/20,100
01有排行有提醒,皖AT0547,2020/8/20,100
04无排行无提醒,皖AT0616,2020/8/20,100
03无排行有提醒,皖AT0539,2020/8/20,100
01有排行有提醒,皖AT0600,2020/8/20,100
04无排行无提醒,皖AT0661,2020/8/20,100
04无排行无提醒,粤BP439V,2020/8/20,100
01有排行有提醒,粤BH218W,2020/8/20,100
03无排行有提醒,粤B533CJ,2020/8/20,100
01有排行有提醒,粤S45B27,2020/8/20,100
02有排行无提醒,粤JCL629,2020/8/20,100
01有排行有提醒,粤LBY602,2020/8/20,100
02有排行无提醒,粤B3Q03K,2020/8/20,100
01有排行有提醒,皖AT0626,2020/8/20,100
