部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度.KM.H.,急加速,急减速,急转弯,疲劳驾驶.次数.,夜间驾驶时长.H.,日期,驾驶行为评分,插拔
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/13,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/13,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/13,100,未拔出
04无排行无提醒,粤B0Y92H,11.01,482.96,4.68,1.19,9.25,3,8,0,0,0.16,2019/9/14,95.44,未拔出
04无排行无提醒,粤BP439V,0,557.62,0,0,0,0,0,0,0,0,2019/9/14,100,未拔出
04无排行无提醒,粤PR5795,0,0.64,0,0,0,0,0,0,0,0,2019/9/14,100,未拔出
04无排行无提醒,粤STB959,0,682.11,0,0,0,0,0,0,0,0,2019/9/14,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/14,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/14,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/14,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/14,100,未拔出
04无排行无提醒,粤B0Y92H,12.47,495.43,3.2,0.59,21.14,6,20,0,0,0,2019/9/15,89.72,未拔出
04无排行无提醒,粤PR5795,0.06,0.7,4.38,2.71,0.02,0,0,0,0,0.98,2019/9/15,99.43,未拔出
04无排行无提醒,粤BP439V,0,557.62,0,0,0,0,0,0,0,0,2019/9/15,100,未拔出
04无排行无提醒,粤STB959,0,682.11,0,0,0,0,0,0,0,0,2019/9/15,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/15,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/15,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/15,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/15,100,未拔出
04无排行无提醒,粤BP439V,28.95,586.57,4.55,1.99,14.55,57,44,1,0,1.35,2019/9/16,82.55,未拔出
04无排行无提醒,粤B0Y92H,11.84,507.27,2.57,0.64,18.5,2,8,0,0,0,2019/9/16,93.43,未拔出
04无排行无提醒,粤STB959,0.03,682.14,0.34,0.23,0.13,0,0,0,0,0,2019/9/16,99.3,未拔出
04无排行无提醒,粤PR5795,0.03,0.73,3.15,1.66,0.02,0,0,0,0,1.19,2019/9/16,96.3,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/16,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/16,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/16,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/16,100,未拔出
04无排行无提醒,粤BP439V,38.83,625.4,5.67,2.26,17.18,57,59,0,0,2.26,2019/9/17,71.36,未拔出
04无排行无提醒,粤B0Y92H,20.87,528.14,5.88,1.05,19.88,9,22,0,0,0.24,2019/9/17,93.5,未拔出
04无排行无提醒,粤PR5795,0.03,0.76,0.95,0.75,0.04,0,0,0,0,0,2019/9/17,99.54,未拔出
04无排行无提醒,粤STB959,0,682.14,0,0,0,0,0,0,0,0,2019/9/17,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/17,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/17,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/17,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/17,100,未拔出
04无排行无提醒,粤B0Y92H,12.08,540.22,2.95,0.66,18.3,2,6,0,0,0,2019/9/18,93.8,未拔出
04无排行无提醒,粤PR5795,0.03,0.79,7.89,2.54,0.01,0,0,0,0,3.4,2019/9/18,75.41,未拔出
04无排行无提醒,粤BP439V,0,625.4,0,0,0,0,0,0,0,0,2019/9/18,100,未拔出
04无排行无提醒,粤STB959,0,682.14,0,0,0,0,0,0,0,0,2019/9/18,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/18,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/18,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/18,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/18,100,未拔出
04无排行无提醒,粤B0Y92H,15.03,555.25,3.13,0.83,18.11,2,15,0,0,0.18,2019/9/19,93.11,未拔出
04无排行无提醒,粤STB959,6.51,688.65,0.69,0.27,24.11,0,2,0,0,0.27,2019/9/19,90.74,未拔出
04无排行无提醒,粤BP439V,0,625.4,0,0,0,0,0,0,0,0,2019/9/19,100,未拔出
04无排行无提醒,粤PR5795,0,0.79,0.82,0.56,0,0,0,0,0,0.56,2019/9/19,0,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/19,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/19,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/19,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/19,100,未拔出
04无排行无提醒,粤B0Y92H,27.53,582.78,7.87,1.7,16.19,12,33,0,0,0,2019/9/20,93.72,未拔出
04无排行无提醒,粤BP439V,17.43,642.83,2.92,1.15,15.16,29,27,0,0,0,2019/9/20,85.53,未拔出
04无排行无提醒,粤PR5795,0,0.79,0,0,0,0,0,0,0,0,2019/9/20,100,未拔出
04无排行无提醒,粤STB959,0,688.65,0,0,0,0,0,0,0,0,2019/9/20,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/20,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/20,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/20,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/20,100,未拔出
04无排行无提醒,粤B0Y92H,30.41,613.19,7.76,1.69,17.99,17,39,0,0,0.82,2019/9/21,79.04,未拔出
04无排行无提醒,粤PR5795,0.09,0.88,2.56,1.54,0.06,0,0,0,0,1.54,2019/9/21,91.32,未拔出
04无排行无提醒,粤BP439V,0,642.83,0,0,0,0,0,0,0,0,2019/9/21,100,未拔出
04无排行无提醒,粤STB959,0,688.65,0,0,0,0,0,0,0,0,2019/9/21,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/21,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/21,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/21,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/21,100,未拔出
04无排行无提醒,粤B0Y92H,43.31,656.5,10.7,2.11,20.53,14,35,0,0,0,2019/9/22,86.41,未拔出
04无排行无提醒,粤BP439V,10.56,653.39,1.35,0.63,16.76,10,7,0,0,0.55,2019/9/22,90.26,未拔出
04无排行无提醒,粤STB959,0.03,688.68,0.04,0.04,0.75,0,0,0,0,0,2019/9/22,99.87,未拔出
04无排行无提醒,粤PR5795,0,0.88,0,0,0,0,0,0,0,0,2019/9/22,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/22,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/22,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/22,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/22,100,未拔出
04无排行无提醒,粤B0Y92H,23.81,680.31,5.74,1.34,17.77,8,20,1,0,0,2019/9/23,92,未拔出
04无排行无提醒,粤BP439V,9.12,662.51,1.42,0.49,18.61,25,22,0,0,0,2019/9/23,71.82,未拔出
04无排行无提醒,粤PR5795,0.04,0.92,0.34,0.34,0.12,0,0,0,0,0,2019/9/23,99.63,未拔出
04无排行无提醒,粤STB959,0,688.68,0,0,0,0,0,0,0,0,2019/9/23,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/23,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/23,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/23,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/23,100,未拔出
04无排行无提醒,粤B0Y92H,23.07,703.38,5.26,1.11,20.78,5,28,0,0,0.25,2019/9/24,91.3,未拔出
04无排行无提醒,粤BP439V,0,662.51,0,0,0,0,0,0,0,0,2019/9/24,100,未拔出
04无排行无提醒,粤PR5795,0,0.92,0,0,0,0,0,0,0,0,2019/9/24,100,未拔出
04无排行无提醒,粤STB959,0,688.68,0,0,0,0,0,0,0,0,2019/9/24,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/9/24,100,未拔出
